transaction_id,partner_id,partner_name,transaction_date,category,actual_amount,expected_amount,status
TXN001,P001,TechSupplies Co,2026-01-03,Electronics,15200.00,15200.00,COMPLETED
TXN002,P002,SafetyFirst Ltd,2026-01-04,Safety,8400.00,9000.00,COMPLETED
TXN003,P001,TechSupplies Co,2026-01-05,Electronics,23000.00,23000.00,COMPLETED
TXN004,P003,OfficePro Inc,2026-01-06,Office,5100.00,5100.00,COMPLETED
TXN005,P004,IndustrialHub,2026-01-07,Industrial,31000.00,28000.00,COMPLETED
TXN006,P002,SafetyFirst Ltd,2026-01-08,Safety,12000.00,12000.00,COMPLETED
TXN007,P005,ScienceDirect,2026-01-09,Scientific,7800.00,7800.00,COMPLETED
TXN008,P003,OfficePro Inc,2026-01-10,Office,4200.00,4200.00,COMPLETED
TXN009,P001,TechSupplies Co,2026-01-11,Electronics,18500.00,20000.00,COMPLETED
TXN010,P004,IndustrialHub,2026-01-12,Industrial,9900.00,9900.00,COMPLETED
TXN011,P005,ScienceDirect,2026-01-13,Scientific,15300.00,15300.00,COMPLETED
TXN012,P002,SafetyFirst Ltd,2026-01-14,Safety,6700.00,6700.00,COMPLETED
TXN013,P006,MediCorp,2026-01-15,Medical,22000.00,25000.00,COMPLETED
TXN014,P003,OfficePro Inc,2026-01-16,Office,8800.00,8800.00,COMPLETED
TXN015,P001,TechSupplies Co,2026-01-17,Electronics,11000.00,11000.00,COMPLETED
TXN016,P004,IndustrialHub,2026-01-18,Industrial,44000.00,44000.00,COMPLETED
TXN017,P006,MediCorp,2026-01-19,Medical,17500.00,17500.00,COMPLETED
TXN018,P005,ScienceDirect,2026-01-20,Scientific,9200.00,9200.00,COMPLETED
TXN019,P002,SafetyFirst Ltd,2026-01-21,Safety,3300.00,3300.00,COMPLETED
TXN020,P007,LogiFreight,2026-01-22,Logistics,56000.00,60000.00,COMPLETED
TXN021,P003,OfficePro Inc,2026-01-23,Office,6600.00,6600.00,COMPLETED
TXN022,P007,LogiFreight,2026-01-24,Logistics,33000.00,33000.00,COMPLETED
TXN023,P001,TechSupplies Co,2026-01-25,Electronics,27000.00,27000.00,COMPLETED
TXN024,P006,MediCorp,2026-01-26,Medical,8100.00,8100.00,COMPLETED
TXN025,P004,IndustrialHub,2026-01-27,Industrial,19500.00,19500.00,COMPLETED
TXN026,P005,ScienceDirect,2026-01-28,Scientific,11400.00,11400.00,COMPLETED
TXN027,P007,LogiFreight,2026-01-29,Logistics,41000.00,41000.00,COMPLETED
TXN028,P002,SafetyFirst Ltd,2026-01-30,Safety,14200.00,14200.00,COMPLETED
TXN029,P003,OfficePro Inc,2026-01-31,Office,3900.00,3900.00,COMPLETED
TXN030,P006,MediCorp,2026-02-01,Medical,29000.00,29000.00,COMPLETED
TXN031,P001,TechSupplies Co,2026-02-02,Electronics,16800.00,16800.00,COMPLETED
TXN032,P004,IndustrialHub,2026-02-03,Industrial,38000.00,42000.00,COMPLETED
TXN033,P007,LogiFreight,2026-02-04,Logistics,27500.00,27500.00,COMPLETED
TXN034,P005,ScienceDirect,2026-02-05,Scientific,6600.00,6600.00,COMPLETED
TXN035,P002,SafetyFirst Ltd,2026-02-06,Safety,18900.00,18900.00,COMPLETED
